"ES0105200002","ABENGOA, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"ES0125220311","ACCIONA,S.A.","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo","IBEX 35®",
"ES0132105018","ACERINOX, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0167050915","ACS,ACTIVIDADES DE CONST.Y SERVICIOS S.A","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0106000013","ADOLFO DOMINGUEZ, S.A.","Bienes de Consumo - Textil, Vestido y Calzado","Mercado Continuo"," ",
"ES0105287009","AEDAS HOMES, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0105046009","AENA, S.M.E., S.A.","Servicios de Consumo - Transporte y Distribución","Mercado Continuo","IBEX 35®",
"NL0000235190","AIRBUS SE","Mat.Basicos, Industria y Construcción - Aerospacial","Mercado Continuo"," ",
"ES0152768612","AIRTIFICIAL INTELLIGENCE STRUCTURES S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"ES0126501131","ALANTRA PARTNERS, S.A.","Servicios Financieros - Cartera y Holding","Mercado Continuo"," ",
"MXP000511016","ALFA, S.A.B. DE C.V.","Servicios Financieros - Cartera y Holding","Latibex","FTSE Latibex TOP, FTSE Latibex All Share",
"ES0157097017","ALMIRALL, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo","IBEX 35®",
"ES0109067019","AMADEUS IT GROUP, S.A.","Tecnología y Telecomunicaciones - Electrónica y Software","Mercado Continuo","IBEX 35®",
"MXP001691213","AMERICA MOVIL S,A,B,","Tecnología y Telecomunicaciones - Telecomunicaciones y Otros","Latibex","FTSE Latibex TOP, FTSE Latibex All Share",
"ES0109260531","AMPER, S.A.","Tecnología y Telecomunicaciones - Electrónica y Software","Mercado Continuo"," ",
"ES0105375002","AMREST HOLDINGS, S.E.","Servicios de Consumo - Ocio, Turismo y Hostelería","Mercado Continuo"," ",
"LU0569974404","APERAM, SOCIETE ANONYME","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"ES0105022000","APPLUS SERVICES, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"LU1598757687","ARCELORMITTAL, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo","IBEX 35®",
"ES0105376000","ARIMA REAL ESTATE SOCIMI, S.A.","Servicios Inmobiliarios - SOCIMI","Mercado Continuo"," ",
"ES0109427734","ATRESMEDIA CORP. DE MEDIOS DE COM. S.A.","Servicios de Consumo - Medios de Comunicación y Publicidad","Mercado Continuo"," ",
"ES0136463017","AUDAX RENOVABLES, S.A.","Petróleo y Energía - Energías Renovables","Mercado Continuo"," ",
"ES0152960045","AYCO GRUPO INMOBILIARIO, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Parqué"," ",
"ES0112458312","AZKOYEN S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo"," ",
"ARP125991090","BANCO BBVA ARGENTINA, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Latibex","FTSE Latibex All Share",
"ES0113211835","BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"BRBBDCACNPR8","BANCO BRADESCO S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"ES0113860A34","BANCO DE SABADELL, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ARBRIO010194","BANCO SANTANDER RIO, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Latibex","FTSE Latibex All Share",
"ES0113900J37","BANCO SANTANDER, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®",
"ES0113679I37","BANKINTER,S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®",
"ES0114297015","BARON DE LEY, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"AU000000BKY0","BERKELEY ENERGIA LIMITED","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"ES0172233118","BIOSEARCH, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo"," ",
"ES0115002018","BODEGAS RIOJANAS, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0105271011","BORGES AGRICULTURAL & INDUST. NUTS, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"BRBRAPACNOR5","BRADESPAR,S.A.","Servicios Financieros - Cartera y Holding","Latibex","FTSE Latibex All Share",
"BRBRKMACNPA4","BRASKEM,S.A.","Petróleo y Energía - Petróleo","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"ES0140609019","CAIXABANK, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0114400007","CAJA DE AHORROS DEL MEDITERRANEO","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo"," ",
"ES0105229001","CASH, S.A.","Servicios de Consumo - Otros Servicios","Mercado Continuo","IBEX TOP Dividendo®",
"ES0105066007","CELLNEX TELECOM, S.A.","Tecnología y Telecomunicaciones - Telecomunicaciones y Otros","Mercado Continuo","IBEX 35®",
"ES0117360117","CEMENTOS MOLINS, S.A.","Mat.Basicos, Industria y Construcción - Materiales de Construcción","Parqué"," ",
"BRELETACNPB7","CENTRAIS ELE. BRASILEIRA S.A. ELETROBRAS","Petróleo y Energía - Electricidad y Gas","Latibex","FTSE Latibex All Share",
"ES0105027009","CIA. DE DIST. INTEG. LOGISTA HOLDINGS","Servicios de Consumo - Transporte y Distribución","Mercado Continuo","IBEX TOP Dividendo®",
"ES0132955008","CIA. ESPAÑOLA VIVIENDAS EN ALQUILER,S.A","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0158300410","CIA.LEVANTINA, EDIFICACION DE O.PUBLICAS","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo"," ",
"ES0105630315","CIE AUTOMOTIVE, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo","IBEX 35®",
"ES0119037010","CLINICA BAVIERA, S.A.","Servicios de Consumo - Otros Servicios","Mercado Continuo"," ",
"GB00BDCPN049","COCA-COLA EUROPEAN PARTNERS PLC","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0119256032","CODERE, S.A.","Servicios de Consumo - Ocio, Turismo y Hostelería","Mercado Continuo"," ",
"BRCMIGACNPR3","COM.ENERGETICA DE MINAS GERAIS-CEMIG","Petróleo y Energía - Electricidad y Gas","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"BRCPLEACNPB9","COMPANHIA PARANAENSE DE ENERGIA-COPEL B","Petróleo y Energía - Electricidad y Gas","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"ES0121975009","CONSTRUCC. Y AUX. DE FERROCARRILES, S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo"," ",
"ES0182170003","CORP. EMPRESARIAL DE MAT. CONSTRUCC. S.A","Mat.Basicos, Industria y Construcción - Materiales de Construcción","Mercado Continuo"," ",
"ES0117160111","CORPORACION FINANCIERA ALBA, S.A.","Servicios Financieros - Cartera y Holding","Mercado Continuo"," ",
"MXP3142C1177","CORPORACION GEO, S.A.B. DE C.V.","Mat.Basicos, Industria y Construcción - Construcción","Latibex"," ",
"ES0110047919","DEOLEO, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0126251018","DESARROLLOS ESPE.DE SISTEMAS DE ANCLAJES","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"ES0126775032","DIA-DISTRIBUIDORA INT. DE ALIMENT. S.A.","Servicios de Consumo - Comercio","Mercado Continuo"," ",
"ES0162600003","DURO FELGUERA, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"ES0112501012","EBRO FOODS, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0127232017","ECOLUMBER, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Parqué"," ",
"LU1048328220","EDREAMS ODIGEO, S.A.","Servicios de Consumo - Ocio, Turismo y Hostelería","Mercado Continuo"," ",
"ES0129743318","ELECNOR S. A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo"," ",
"ES0130960018","ENAGAS, S.A.","Petróleo y Energía - Electricidad y Gas","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0130625512","ENCE ENERGIA Y CELULOSA, S.A.","Bienes de Consumo - Papel y Artes Gráficas","Mercado Continuo"," ",
"ES0130670112","ENDESA, SOCIEDAD ANONIMA","Petróleo y Energía - Electricidad y Gas","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0125140A14","ERCROS S.A.","Mat.Basicos, Industria y Construcción - Industria Química","Mercado Continuo"," ",
"ES0105075008","EUSKALTEL, S.A.","Tecnología y Telecomunicaciones - Telecomunicaciones y Otros","Mercado Continuo","IBEX TOP Dividendo®",
"ES0134950F36","FAES FARMA, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo","IBEX TOP Dividendo®",
"ES0118900010","FERROVIAL, S.A.","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo","IBEX 35®",
"ES0138152113","FINANZAS E INV. VALENCIANAS, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Parqué"," ",
"ES0137650018","FLUIDRA, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo","IBEX 35®",
"ES0122060314","FOMENTO DE CONSTR. Y CONTRATAS S.A.","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo"," ",
"ES0141571192","GENERAL DE ALQUILER DE MAQUINARIA, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"BRGGBRACNPR8","GERDAU,S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"ES0105223004","GESTAMP AUTOMOCION, S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo"," ",
"ES0105130001","GLOBAL DOMINION ACCESS, S.A.","Tecnología y Telecomunicaciones - Telecomunicaciones y Otros","Mercado Continuo"," ",
"ES0105079000","GRENERGY RENOVABLES, S.A.","Petróleo y Energía - Energías Renovables","Mercado Continuo"," ",
"ES0171996087","GRIFOLS, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo","IBEX 35®",
"ES0116920333","GRUPO CATALANA OCCIDENTE, S.A.","Servicios Financieros - Seguros","Mercado Continuo"," ",
"MX01EL000003","GRUPO ELEKTRA, S.A. DE C. V.","Bienes de Consumo - Otros Bienes de Consumo","Latibex","FTSE Latibex TOP, FTSE Latibex All Share",
"ES0180918015","GRUPO EMPRESARIAL SAN JOSE, S.A.","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo"," ",
"ES0172708234","GRUPO EZENTIS, S.A.","Tecnología y Telecomunicaciones - Telecomunicaciones y Otros","Mercado Continuo"," ",
"MXP370711014","GRUPO FINANCIERO BANORTE S.A.B. DE C.V","Servicios Financieros - Bancos y Cajas de Ahorro","Latibex","FTSE Latibex TOP, FTSE Latibex All Share",
"ES0144580Y14","IBERDROLA, S.A.","Petróleo y Energía - Electricidad y Gas","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0147561015","IBERPAPEL GESTION, S.A.","Bienes de Consumo - Papel y Artes Gráficas","Mercado Continuo"," ",
"ES0118594417","INDRA SISTEMAS, S.A., SERIE A","Tecnología y Telecomunicaciones - Electrónica y Software","Mercado Continuo","IBEX 35®",
"ES0148396007","INDUSTRIA DE DISEÑO TEXTIL, SA "INDITEX"","Bienes de Consumo - Textil, Vestido y Calzado","Mercado Continuo","IBEX 35®",
"ES0139140174","INMOBILIARIA COLONIAL SOCIMI, S.A.","Servicios Inmobiliarios - SOCIMI","Mercado Continuo","IBEX 35®",
"ES0154653911","INMOBILIARIA DEL SUR, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0177542018","INTERNATIONAL CONSOLIDAT. AIRLINES GROUP","Servicios de Consumo - Transporte y Distribución","Mercado Continuo","IBEX 35®",
"ES0165359029","LABORATORIO REIG JOFRE, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo"," ",
"ES0157261019","LABORATORIOS FARMACEUTICOS ROVI, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo"," ",
"ES0105015012","LAR ESPAÑA REAL ESTATE, SOCIMI, S.A.","Servicios Inmobiliarios - SOCIMI","Mercado Continuo","IBEX TOP Dividendo®",
"ES0168675090","LIBERBANK, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo"," ",
"ES0137998A12","LIBERTAS 7, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0158480311","LINGOTES ESPECIALES, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"ES0158545030","LIWE ESPAñOLA, S.A.","Bienes de Consumo - Textil, Vestido y Calzado","Parqué"," ",
"ES0124244E34","MAPFRE, S.A.","Servicios Financieros - Seguros","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0152503035","MEDIASET ESPAÑA COMUNICACION, S.A.","Servicios de Consumo - Medios de Comunicación y Publicidad","Mercado Continuo"," ",
"ES0176252718","MELIA HOTELS INTERNATIONAL, S.A.","Servicios de Consumo - Ocio, Turismo y Hostelería","Mercado Continuo","IBEX 35®",
"ES0105025003","MERLIN PROPERTIES, SOCIMI, S.A.","Servicios Inmobiliarios - SOCIMI","Mercado Continuo","IBEX 35®",
"ES0105122024","METROVACESA, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0163960018","MINERALES Y PRODUCTOS DERIVADOS, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Parqué"," ",
"ES0164180012","MIQUEL Y COSTAS & MIQUEL, S.A.","Bienes de Consumo - Papel y Artes Gráficas","Mercado Continuo","IBEX TOP Dividendo®",
"ES0164228019","MOBILIARIA MONESA, S.A.","Servicios Financieros - Cartera y Holding","Parqué"," ",
"ES0116494016","MONTEBALITO, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0116870314","NATURGY ENERGY GROUP, S.A.","Petróleo y Energía - Electricidad y Gas","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0105043006","NATURHOUSE HEALTH, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"ES0105251005","NEINOR HOMES, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0161560018","NH HOTEL GROUP, S.A.","Servicios de Consumo - Ocio, Turismo y Hostelería","Mercado Continuo"," ",
"ES0166300212","NICOLAS CORREA S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo","IBEX TOP Dividendo®",
"ES0126962069","NUEVA EXPRESION TEXTIL, S.A.","Bienes de Consumo - Textil, Vestido y Calzado","Mercado Continuo"," ",
"ES0150480111","NYESA VALORES CORPORACION, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0142090317","OBRASCON HUARTE LAIN, S.A.","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo"," ",
"ES0167733015","ORYZON GENOMICS, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo"," ",
"ES0169350016","PESCANOVA, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo"," ",
"BRPETRACNOR9","PETROLEO BRASILEIRO,S.A. (PETROBRAS)","Petróleo y Energía - Petróleo","Latibex","FTSE Latibex All Share",
"ES0169501022","PHARMA MAR, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo","IBEX 35®",
"ES0170884417","PRIM, S.A.","Bienes de Consumo - Productos farmaceúticos y Biotecnología","Mercado Continuo"," ",
"ES0171743901","PROMOTORA DE INFORMACIONES,S.A.","Servicios de Consumo - Medios de Comunicación y Publicidad","Mercado Continuo"," ",
"ES0175438003","PROSEGUR , CIA. DE SEGURIDAD, S.A.","Servicios de Consumo - Otros Servicios","Mercado Continuo","IBEX TOP Dividendo®",
"ES0110944172","QUABIT INMOBILIARIA, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0173908015","REALIA BUSINESS, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0173093024","RED ELECTRICA CORPORACION, S.A.","Petróleo y Energía - Electricidad y Gas","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"IT0001178299","RENO DE MEDICI, S.P.A.","Bienes de Consumo - Papel y Artes Gráficas","Mercado Continuo"," ",
"ES0173358039","RENTA 4 BANCO, S.A.","Servicios Financieros - Servicios de Inversión","Mercado Continuo"," ",
"ES0173365018","RENTA CORPORACION REAL ESTATE, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"ES0173516115","REPSOL, S.A.","Petróleo y Energía - Petróleo","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0182870214","SACYR, S.A.","Mat.Basicos, Industria y Construcción - Construcción","Mercado Continuo","IBEX TOP Dividendo®",
"ES0143421073","SERVICE POINT SOLUTIONS, S.A.","Servicios de Consumo - Comercio","Mercado Continuo"," ",
"ES0143416115","SIEMENS GAMESA RENEWABLE ENERGY, S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo","IBEX 35®",
"ES0165386014","SOLARIA ENERGIA Y MEDIO AMBIENTE, S.A.","Petróleo y Energía - Energías Renovables","Mercado Continuo","IBEX 35®",
"ES0105385001","SOLARPACK CORPORACION TECNOL. S.A.","Petróleo y Energía - Energías Renovables","Mercado Continuo"," ",
"ES0105513008","SOLTEC POWER HOLDINGS, S.A.","Petróleo y Energía - Energías Renovables","Mercado Continuo"," ",
"ES0105065009","TALGO, S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo"," ",
"ES0178165017","TECNICAS REUNIDAS, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Mercado Continuo"," ",
"ES0178430E18","TELEFONICA, S.A.","Tecnología y Telecomunicaciones - Telecomunicaciones y Otros","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0179598000","TR HOTEL JARDIN DEL MAR, S.A.","Servicios de Consumo - Ocio, Turismo y Hostelería","Parqué"," ",
"ES0132945017","TUBACEX, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"ES0180850416","TUBOS REUNIDOS,S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Mercado Continuo"," ",
"MX01AZ060013","TV AZTECA, S.A. DE C.V.","Servicios de Consumo - Medios de Comunicación y Publicidad","Latibex","FTSE Latibex TOP, FTSE Latibex All Share",
"ES0180907000","UNICAJA BANCO, S.A.","Servicios Financieros - Bancos y Cajas de Ahorro","Mercado Continuo"," ",
"ES0181222011","UNION CATALANA DE VALORES, S.A.","Servicios Financieros - Cartera y Holding","Parqué"," ",
"ES0182484214","URBAR INGENIEROS, S.A.","Mat.Basicos, Industria y Construcción - Ingeniería y Otros","Parqué"," ",
"ES0182280018","URBAS GRUPO FINANCIERO, S.A.","Servicios Inmobiliarios - Inmobiliarias y Otros","Mercado Continuo"," ",
"BRUSIMACNPA6","USINAS SIDERURGICAS DE MINAS GERAIS,S.A.","Petróleo y Energía - Electricidad y Gas","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"BRVALEACNOR0","VALE, S.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Latibex","FTSE Latibex BRASIL, FTSE Latibex TOP, FTSE Latibex All Share",
"ES0183304080","VERTICE TRESCIENTOS SESENTA GRADOS, S.A.","Servicios de Consumo - Medios de Comunicación y Publicidad","Mercado Continuo"," ",
"ES0183746314","VIDRALA S.A.","Bienes de Consumo - Otros Bienes de Consumo","Mercado Continuo"," ",
"ES0184262212","VISCOFAN, S.A.","Bienes de Consumo - Alimentación y Bebidas","Mercado Continuo","IBEX 35®, IBEX TOP Dividendo®",
"ES0114820113","VOCENTO, S.A.","Servicios de Consumo - Medios de Comunicación y Publicidad","Mercado Continuo"," ",
"PEP648014202","VOLCAN, COMPAñIA MINERA S.A.A.","Mat.Basicos, Industria y Construcción - Mineral, Metales y Transformación","Latibex","FTSE Latibex All Share",
"ES0184933812","ZARDOYA OTIS, S.A.","Mat.Basicos, Industria y Construcción - Fabric. y Montaje Bienes de Equipo","Mercado Continuo","IBEX TOP Dividendo®",
